1001, Чаепитие или обед; ," Сувениры на память, магниты на холодильник. ",,,,,,,,,
1002, Катание на собачьей упряжке; , Чаепитие или обед; ," Сувениры на память, магниты на холодильник. ",,,,,,,,
1003, Сопровождающие групп обед оплачивают дополнительно – 150 руб.; ," Сувениры на память, магниты на холодильник. ",,,,,,,,,
1004, Прогулка на телоходе; ," Книги, брошюры, открытки, сувениры в музейном киоске. ",,,,,,,,,
1005, Обед; , Чаепитие; ," Сувениры, именные, деревянные, нытвенские и другие ложки в киоске музея; ",,,,,,,,
1006," Книги, брошюры, открытки, сувениры в музейном киоске. ",,,,,,,,,,
1007, Трансфер до театра и обратно. ,,,,,,,,,,
1008, Платок на голову для девочек; ," Небольшую сумму денег на пожертвование в храмах и для покупок в церковных лавках, кошерной лавке. ",,,,,,,,,
1009, Памятный «Сертификат посетителя «Пермь-36» - ламинированный. (200 руб . – 1 человек). ," Сувениры, магниты, брошюры в киоске музея. ",,,,,,,,,
1010, Продажа на ферме сувениров из перьев страуса; ," С/Х продукция (куриные, гусиные, индюшиные яйца); ", Страус - дог (хот дог с мясом страуса – 50 руб.). ,,,,,,,,
1011, Обед - 170 руб. , Чаепитие (булочка +чай) – 50 руб. , Сувениры в лавке «Орловочка» на территории клуба. ,,,,,,,,
1012, Обед - 170 руб. , Чаепитие (булочка +чай) – 50 руб. , Сувениры в лавке «Орловочка» на территории клуба. ,,,,,,,,
1013, Обед - 170 руб. , Чаепитие (булочка +чай) – 50 руб. , Сувениры в лавке «Орловочка» на территории клуба. ,,,,,,,,
1014,,,,,,,,,,,
1015, Услуги аниматора. , Сувениры. ,,,,,,,,,
1016, Сувениры. ,,,,,,,,,,
1017, Сувениры. ,,,,,,,,,,
1018, Сувениры; , Обед / чаепитие / сухой паек. ,,,,,,,,,
1019,,,,,,,,,,,
1020, Продукция фермерского хозяйства и ландшафтного питомника. ,,,,,,,,,,
1021, Обед ,,,,,,,,,,
1022,,,,,,,,,,,
1023,,,,,,,,,,,
