1001, Трансфер до поселка Звездный и обратно; , Входные билеты в музей - бункер + экскурсовод; ," Услуги гида по маршруту, путевая информация о самых известных бункерах – бункер Сталина, Фюрера, история кирзовых солдатских сапог и много других интересных фактов; ", Обзорная экскурсия по ЗАТО «Звездный»; , На обратном пути викторина со сладкими призами. , Страховка. ,,
1002, Трансфер до клуба северных ездовых собак и обратно; ," Услуги гида по маршруту, путевая информация об истории клуба и его обитателях; ", Экскурсия с выводкой-показом собак в клубе; , Фотосессия с собаками клуба; , На обратном пути викторина со сладкими призами. ,,,
1003, Проезд на комфортабельном автобусе до этнографического парка истории реки Чусовой и обратно; , Входные билеты в парк + экскурсовод; ," Услуги гида по маршруту, путевая информация о городе Чусовой, легендах и сказаниях об атамане Ермаке и много другой интерересной информации. ", Просмотр тематического фильма в автобусе; , Обед. ,,,
1004, Проезд на комфортабельном автобусе до музея и обратно; , Входные билеты в парк + экскурсовод; ," Услуги гида по маршруту, путевая информация; ",,,,,
1005, Проезд на комфортабельном автобусе до города Нытва и обратно; , Обзорная экскурсия на автобусе; , Входные билеты в Краеведческий музей+ музей ложки + экскурсовод; ," Услуги гида по маршруту, путевая информация; ", Викторина с подарками. ,,,
1006, Проезд на комфортабельном автобусе до города Оса и обратно; , Обзорная экскурсия на автобусе; , Входные билеты в музейный комплекс + экскурсия; ," Услуги гида по маршруту, путевая информация; ", Обед. ,,,
1007, Экскурсия по театральному скверу; , Экскурсия за кулисы театра; , Фотосессия в костюмах спектаклей театра. ,,,,,
1008, Трансфер на комфортабельном автобусе; ," Услуги гида, путевая информация; ", Экскурсии в храмах с представителями конфессий; , Страховка. ,,,,
1009," автобусное обслуживание, "," сопровождение гидом-экскурсоводом, "," путевая экскурсия, "," экскурсия в музее, "," просмотр фильма, ", страховка. ,,
1010, Трансфер на комфортабельном автобусе; ," Услуги гида, путевая информация; ", Входной билет на ферму +экскурсия; , Чаепитие + сладости; , Дегустация страусиного мяса; , Страховка. ,,
1011, Трансфер на комфортабельном автобусе; ," Услуги гида, путевая информация; ", Входные билеты конноспортивный клуб+ экскурсовод; , Посещение музея лошади; , Катание на лошадях; , Страховка; , Игровая программа на территории конноспортивного клуба. ,
1012, Трансфер на комфортабельном автобусе; ," Услуги гида, путевая информация; ", Входные билеты конноспортивный клуб+ экскурсовод; , Посещение музея лошади; , Катание на лошадях; , Страховка. ,,
1013, Трансфер на комфортабельном автобусе; ," Услуги гида, путевая информация; ", Входные билеты конноспортивный клуб+ экскурсовод; , Посещение музея лошади; , Катание на лошадях; , Страховка; ," Игровая программа, полоса препятствий, конкурсы на территории конноспортивного клуба. ",
1014,TODO,,,,,,,
1015, Проезд на комфортабельном автобусе до музея «Хохловка» и обратно; , Входные билеты в музеи+ экскурсовод; ," Услуги гида по маршруту, путевая информация; ", Страховка. ,,,,
1016, Проезд на комфортабельном автобусе до Кунгурской ледяной пещеры и обратно; , Входные билеты в Ледяную пещеру+ театрализованная экскурсия; , Входные билеты в музей + экскурсия по деревне Ермака; ," Услуги гида по маршруту, путевая информация; "," Трапеза (салат «Деревенский», жаркое в глиняном горшочке, пирог с брусникой, чай); ", Фотосессия в пещере и в деревне Ермака; , Страховка. , На обратном пути викторина с призами 
1017, Проезд на комфортабельном автобусе до города Усолье и обратно; , Входные билеты в музей «Усадьба князей Голицыных+ экскурсия; , Входные билеты в палаты Строгановых+ экскурсия; , Экскурсия по архитектурному ансамблю Усолья; ," Услуги гида по маршруту, путевая информация; ", Обед в кафе; , Страховка. ,
1018, Проезд на комфортабельном автобусе до пос. Уральский и обратно; , Входные билеты в музей «Истории рейдерства»+ экскурсия; , Экскурсия по пос. Уральский с посещением парка «Жива вода»; ," Услуги гида по маршруту, путевая информация; ", Веселая викторина со сладкими подарками на обратном пути; , Страховка. ,,
1019,TODO,,,,,,,
1020, Проезд на комфортабельном автобусе до фермы и обратно; , Входные билеты на фермы+ экскурсовод; ," Услуги гида по маршруту, путевая информация; ", Чаепитие; , Страховка; , Фотосессия с живыми фазанами в подарок! ,,
1021, Экскурсионное обслуживание; , Экскурсия в чусовском этнопарке; , Входные билеты в этнопарк , Экскурсия в Каменном городе; , Инструктаж; , Страховка. ,,
1022,TODO,,,,,,,
1023," Проезд на комфортабельном автобусе класса ""Турист"" ", Путевая экскурсия; , Обзорная экскурсия по лагерю и лесному маршруту; , Раскраска лица; , Стрельба из лука; , Чаепитие с пирогами или лепешками. ,,
